Complexity metrics,Wed, 17 Apr 2019 18:56:46 EDT,
org.apache.commons.codec.binary.Base64Test.testDecodeEncode(String),1,1,1
org.apache.commons.codec.binary.Base64Test.testDecodePadMarkerIndex2(),1,1,1
org.apache.commons.codec.binary.Base64Test.testDecodePadMarkerIndex3(),1,1,1
org.apache.commons.codec.binary.Base64Test.testDecodePadOnly(),1,1,1
org.apache.commons.codec.binary.Base64Test.testDecodePadOnlyChunked(),1,1,1
org.apache.commons.codec.binary.Base64Test.testDecodeWithInnerPad(),1,1,1
org.apache.commons.codec.binary.Base64Test.testDecodeWithWhitespace(),1,1,1
org.apache.commons.codec.binary.Base64Test.testEmptyBase64(),1,1,1
org.apache.commons.codec.binary.Base64Test.testEncodeDecode(String),1,1,1
org.apache.commons.codec.binary.Base64Test.testEncodeDecodeRandom(),1,2,2
org.apache.commons.codec.binary.Base64Test.testEncodeDecodeSmall(),1,2,2
org.apache.commons.codec.binary.Base64Test.testEncodeOverMaxSize(),1,1,1
org.apache.commons.codec.binary.Base64Test.testEncodeOverMaxSize(int),1,1,2
org.apache.commons.codec.binary.Base64Test.testHugeLineSeparator(),1,1,1
org.apache.commons.codec.binary.Base64Test.testIgnoringNonBase64InDecode(),1,1,1
org.apache.commons.codec.binary.Base64Test.testIsArrayByteBase64(),1,1,1
org.apache.commons.codec.binary.Base64Test.testIsStringBase64(),1,2,2
org.apache.commons.codec.binary.Base64Test.testIsUrlSafe(),1,1,1
org.apache.commons.codec.binary.Base64Test.testKnownDecodings(),1,1,1
org.apache.commons.codec.binary.Base64Test.testKnownEncodings(),1,1,1
org.apache.commons.codec.binary.Base64Test.testNonBase64Test(),1,2,2
org.apache.commons.codec.binary.Base64Test.testObjectDecodeWithInvalidParameter(),1,1,2
org.apache.commons.codec.binary.Base64Test.testObjectDecodeWithValidParameter(),1,1,1
org.apache.commons.codec.binary.Base64Test.testObjectEncode(),1,1,1
org.apache.commons.codec.binary.Base64Test.testObjectEncodeWithInvalidParameter(),1,1,2
org.apache.commons.codec.binary.Base64Test.testObjectEncodeWithValidParameter(),1,1,1
org.apache.commons.codec.binary.Base64Test.testPairs(),1,2,2
org.apache.commons.codec.binary.Base64Test.testRfc1421Section6Dot8ChunkSizeDefinition(),1,1,1
org.apache.commons.codec.binary.Base64Test.testRfc2045Section2Dot1CrLfDefinition(),1,1,1
org.apache.commons.codec.binary.Base64Test.testRfc2045Section6Dot8ChunkSizeDefinition(),1,1,1
org.apache.commons.codec.binary.Base64Test.testRfc4648Section10Decode(),1,1,1
org.apache.commons.codec.binary.Base64Test.testRfc4648Section10DecodeEncode(),1,1,1
org.apache.commons.codec.binary.Base64Test.testRfc4648Section10DecodeWithCrLf(),1,1,1
org.apache.commons.codec.binary.Base64Test.testRfc4648Section10Encode(),1,1,1
org.apache.commons.codec.binary.Base64Test.testRfc4648Section10EncodeDecode(),1,1,1
org.apache.commons.codec.binary.Base64Test.testSingletons(),1,2,2
org.apache.commons.codec.binary.Base64Test.testSingletonsChunked(),1,1,1
org.apache.commons.codec.binary.Base64Test.testStringToByteVariations(),1,1,1
org.apache.commons.codec.binary.Base64Test.testTriplets(),1,1,1
org.apache.commons.codec.binary.Base64Test.testTripletsChunked(),1,1,1
org.apache.commons.codec.binary.Base64Test.testUUID(),1,2,2
org.apache.commons.codec.binary.Base64Test.testUrlSafe(),1,2,2
org.apache.commons.codec.binary.Base64Test.toString(byte[]),1,3,3
"org.apache.commons.codec.binary.Base64TestData.bytesContain(byte[],byte)",3,1,3
"org.apache.commons.codec.binary.Base64TestData.fill(byte[],int,InputStream)",1,2,5
"org.apache.commons.codec.binary.Base64TestData.randomData(int,boolean)",1,2,2
org.apache.commons.codec.binary.Base64TestData.resizeArray(byte[]),1,1,1
org.apache.commons.codec.binary.Base64TestData.streamToBytes(InputStream),1,1,1
"org.apache.commons.codec.binary.Base64TestData.streamToBytes(InputStream,byte[])",1,3,3
"org.apache.commons.codec.binary.BaseNCodec.BaseNCodec(int,int,int,int)",1,1,1
"org.apache.commons.codec.binary.BaseNCodec.BaseNCodec(int,int,int,int,byte)",1,1,3
org.apache.commons.codec.binary.BaseNCodec.Context.Context(),1,1,1
org.apache.commons.codec.binary.BaseNCodec.Context.toString(),1,1,1
org.apache.commons.codec.binary.BaseNCodec.available(Context),1,1,2
org.apache.commons.codec.binary.BaseNCodec.containsAlphabetOrPad(byte[]),4,3,5
org.apache.commons.codec.binary.BaseNCodec.decode(Object),3,3,3
org.apache.commons.codec.binary.BaseNCodec.decode(String),1,1,1
org.apache.commons.codec.binary.BaseNCodec.decode(byte[]),2,1,3
org.apache.commons.codec.binary.BaseNCodec.encode(Object),2,1,2
org.apache.commons.codec.binary.BaseNCodec.encode(byte[]),2,1,3
"org.apache.commons.codec.binary.BaseNCodec.encode(byte[],int,int)",2,1,3
org.apache.commons.codec.binary.BaseNCodec.encodeAsString(byte[]),1,1,1
org.apache.commons.codec.binary.BaseNCodec.encodeToString(byte[]),1,1,1
"org.apache.commons.codec.binary.BaseNCodec.ensureBufferSize(int,Context)",2,2,3
org.apache.commons.codec.binary.BaseNCodec.getDefaultBufferSize(),1,1,1
org.apache.commons.codec.binary.BaseNCodec.getEncodedLength(byte[]),1,1,2
org.apache.commons.codec.binary.BaseNCodec.hasData(Context),1,1,1
org.apache.commons.codec.binary.BaseNCodec.isInAlphabet(String),1,1,1
"org.apache.commons.codec.binary.BaseNCodec.isInAlphabet(byte[],boolean)",3,5,6
org.apache.commons.codec.binary.BaseNCodec.isWhiteSpace(byte),3,2,3
"org.apache.commons.codec.binary.BaseNCodec.readResults(byte[],int,int,Context)",2,2,4
org.apache.commons.codec.binary.BaseNCodec.resizeBuffer(Context),1,2,2
"org.apache.commons.codec.binary.BaseNCodecInputStream.BaseNCodecInputStream(InputStream,BaseNCodec,boolean)",1,1,1
org.apache.commons.codec.binary.BaseNCodecInputStream.available(),1,1,2
org.apache.commons.codec.binary.BaseNCodecInputStream.mark(int),1,1,1
org.apache.commons.codec.binary.BaseNCodecInputStream.markSupported(),1,1,1
org.apache.commons.codec.binary.BaseNCodecInputStream.read(),2,2,4
"org.apache.commons.codec.binary.BaseNCodecInputStream.read(byte[],int,int)",5,8,11
org.apache.commons.codec.binary.BaseNCodecInputStream.reset(),1,1,1
org.apache.commons.codec.binary.BaseNCodecInputStream.skip(long),4,2,4
"org.apache.commons.codec.binary.BaseNCodecOutputStream.BaseNCodecOutputStream(OutputStream,BaseNCodec,boolean)",1,1,1
org.apache.commons.codec.binary.BaseNCodecOutputStream.close(),1,1,1
org.apache.commons.codec.binary.BaseNCodecOutputStream.eof(),1,2,2
org.apache.commons.codec.binary.BaseNCodecOutputStream.flush(),1,1,1
org.apache.commons.codec.binary.BaseNCodecOutputStream.flush(boolean),1,4,4
"org.apache.commons.codec.binary.BaseNCodecOutputStream.write(byte[],int,int)",4,6,8
org.apache.commons.codec.binary.BaseNCodecOutputStream.write(int),1,1,1
org.apache.commons.codec.binary.BaseNCodecTest.setUp(),1,1,2
org.apache.commons.codec.binary.BaseNCodecTest.testBaseNCodec(),1,1,1
org.apache.commons.codec.binary.BaseNCodecTest.testContainsAlphabetOrPad(),1,1,1
org.apache.commons.codec.binary.BaseNCodecTest.testIsInAlphabetByte(),1,1,1
org.apache.commons.codec.binary.BaseNCodecTest.testIsInAlphabetByteArrayBoolean(),1,1,1
org.apache.commons.codec.binary.BaseNCodecTest.testIsInAlphabetString(),1,1,1
org.apache.commons.codec.binary.BaseNCodecTest.testIsWhiteSpace(),1,1,1
org.apache.commons.codec.binary.BaseNCodecTest.testProvidePaddingByte(),1,1,2
org.apache.commons.codec.binary.BinaryCodec.decode(Object),5,4,5
org.apache.commons.codec.binary.BinaryCodec.decode(byte[]),1,1,1
org.apache.commons.codec.binary.BinaryCodec.encode(Object),2,1,2
org.apache.commons.codec.binary.BinaryCodec.encode(byte[]),1,1,1
org.apache.commons.codec.binary.BinaryCodec.fromAscii(byte[]),2,1,5
org.apache.commons.codec.binary.BinaryCodec.fromAscii(char[]),2,1,6
org.apache.commons.codec.binary.BinaryCodec.isEmpty(byte[]),1,1,2
org.apache.commons.codec.binary.BinaryCodec.toAsciiBytes(byte[]),2,1,5
org.apache.commons.codec.binary.BinaryCodec.toAsciiChars(byte[]),2,1,5
org.apache.commons.codec.binary.BinaryCodec.toAsciiString(byte[]),1,1,1
org.apache.commons.codec.binary.BinaryCodec.toByteArray(String),2,1,2
"org.apache.commons.codec.binary.BinaryCodecTest.assertDecodeObject(byte[],String)",1,3,3
org.apache.commons.codec.binary.BinaryCodecTest.setUp(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.tearDown(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.testDecodeByteArray(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.testDecodeObject(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.testDecodeObjectException(),1,1,2
org.apache.commons.codec.binary.BinaryCodecTest.testEncodeByteArray(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.testEncodeObject(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.testEncodeObjectException(),1,1,2
org.apache.commons.codec.binary.BinaryCodecTest.testEncodeObjectNull(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.testFromAsciiByteArray(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.testFromAsciiCharArray(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.testToAsciiBytes(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.testToAsciiChars(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.testToAsciiString(),1,1,1
org.apache.commons.codec.binary.BinaryCodecTest.testToByteArrayFromString(),1,1,1
"org.apache.commons.codec.binary.CharSequenceUtils.regionMatches(CharSequence,boolean,int,CharSequence,int,int)",6,4,8
org.apache.commons.codec.binary.Codec105ErrorInputStream.read(),2,1,2
"org.apache.commons.codec.binary.Codec105ErrorInputStream.read(byte[],int,int)",2,1,2
org.apache.commons.codec.binary.Hex.Hex(),1,1,1
org.apache.commons.codec.binary.Hex.Hex(Charset),1,1,1
org.apache.commons.codec.binary.Hex.Hex(String),1,1,1
